STT	MaCoDe														
1	6ExHYFD12Ec9														
2	wE4q2tpEDPhX														
3	hkb70eGPfFJS														
4	4dnxJSNh0AG3														
5	RsnzKWQd9x7e														
6	EN36xhp9zkGH														
7	EJt9MeFkdR92														
8	Eb3ZgpPxspZZ														
9	dmNsQNSeYMEA														
10	a9ZXFcQRt3WF														
11	1jgG2mSt5812														
12	1snPN5TSnfM2														
13	yrABck2YNSF6														
14	sXPJ0XeATCzQ														
15	kJQ4TFMTejRJ														
16	5EAhfb8EH3xf														
17	CxRjAyb95Nme														
18	B2t9ABCphES7														
19	ta4SsgxqWdFj														
20	yeKhymPDmfQB														
21	AtAq2d0dbdC8														
22	wwBdXGRtNkjH														
23	SA8DRnPmE1KH														
24	EEnA5Mn4p7rZ														
25	yfzZX3wzh3Zq														
26	DtREg3Dbkmh7														
27	4zJZfaYbYZy6														
28	YwCcS8JJDGkp														
29	jqNNCjXkJE5G														
30	XQ8w06FWeKKN														
31	QT8hs6BEQh9a														
32	6kKCBJsFPHXS														
33	WprQrggx0Y4B														
34	CkhxWyTXjH94														
35	HcErRfCCcRfM														
36	dYFexHndkQDX														
37	T5mR1ZKxe2mj														
38	8pbEWFRpsBfZ														
39	PQ7bAPK7NPRs														
40	3msxcqqnXS59														
41	ctFK3fGCmr7w														
42	XAr7K92SDKck														
43	esBHg61eNNPR														
44	9gBNGeq3ZYpF														
45	T5j1X9RJTAXj														
46	3yG1A5Cw6R0z														
47	ccmesrHMkk0B														
48	ZMpqGP9QdKZz														
49	74DdYZ16AG6P														
50	5jN7Qx2rnr5y														
51	K2zCxde1S4Gm														
52	aYsAAM0FZfKm														
53	09a7q2p1GPbk														
54	YrBCch6YBbfk														
55	AApz84CkGb9j														
56	jqpbD0BSXANx														
57	52SE1FenbEKp														
58	69MK0CKP7nj8														
59	4ffRRBKtN9ZF														
60	pAWFNJ99zXtP														
61	XR7P3qa5W3PD														
62	xnxpcK315TNx														
63	qxrm00ky0wY0														
64	qWyHd719Ne0g														
65	xAm0TawMGyQg														
66	ns9fnSGgXB2N														
67	Y207nmZc9azh														
68	bpjWsBg41pAT														
69	43HDYF69Fgwm														
70	5JFrec4cy76t														
71	mfmc6Ngsh8gd														
72	48p3gFqFq3wz														
73	qX1gpqSS7xWZ														
74	bFdRRNBqW6Gp														
75	j8YXHgTdtM8G														
